,created_date,complaint_type,incident_zip,status
408,2019-12-11T14:07:51.000,Street Condition,10475,Open
409,2019-12-11T14:07:39.000,Sidewalk Condition,10469,In Progress
410,2019-12-11T14:07:29.000,Noise - Residential,11435,In Progress
411,2019-12-11T14:07:15.000,Damaged Tree,11418,In Progress
412,2019-12-11T14:07:08.000,Sidewalk Condition,11385,In Progress
413,2019-12-11T14:07:02.000,Illegal Parking,11230,In Progress
414,2019-12-11T14:07:00.000,Sewer,10451,Open
415,2019-12-11T14:06:43.000,General Construction/Plumbing,10457,Open
416,2019-12-11T14:06:22.000,Street Condition,10475,Open
417,2019-12-11T14:06:10.000,Rodent,10458,In Progress
418,2019-12-11T14:05:59.000,For Hire Vehicle Complaint,11354,In Progress
419,2019-12-11T14:05:55.000,Street Condition,11375,In Progress
420,2019-12-11T14:05:48.000,Street Condition,10475,Open
421,2019-12-11T14:05:22.000,General Construction/Plumbing,11366,Open
422,2019-12-11T14:05:04.000,Street Condition,11377,Open
